Адрес,Год постройки,Этажей,Квартир,Ссылка,latitude,longitude,Магазинов по близости,Дикси,Магнит,Пятёрочка,Перекрёсток,Лента,Вкустер,Верный
 пр-кт Бакунина 31 , 1860,3,1, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162504,30.385164,59.930836,0,False,False,False,False,False,False,False
 пр-кт Бакунина 19-25 , 1860,4,47, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162501,30.382343,59.930539,1,False,True,False,False,False,False,False
 пр-кт Бакунина 19-25 Литер Т, 1852,3,12, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162502,30.381598,59.930476,1,False,True,False,False,False,False,False
 ул. Балтийская 12 , 1910,5,37, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29506,30.280744,59.898241,0,False,False,False,False,False,False,False
 ул. Балтийская 14 , 1959,5,40, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29507,30.281534,59.898223,0,False,False,False,False,False,False,False
 ул. Балтийская 17 , 1900,4,12, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29508,30.282038,59.898074,0,False,False,False,False,False,False,False
 ул. Балтийская 17к 2 , 1971,6,80, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29509,30.282029,59.897695,0,False,False,False,False,False,False,False
 ул. Балтийская 18 , 1946,4,17, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29510,30.282487,59.898598,0,False,False,False,False,False,False,False
 ул. Балтийская 19 , 1900,4,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29511,30.282514,59.898214,0,False,False,False,False,False,False,False
 ул. Балтийская 19 , 1900,4,16, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29512,30.282882,59.897501,0,False,False,False,False,False,False,False
 ул. Балтийская 20 , 1910,3,9, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29513,30.282981,59.898593,0,False,False,False,False,False,False,False
 ул. Балтийская 21к 2 , 1950,3,10, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29515,30.283142,59.897903,0,False,False,False,False,False,False,False
 ул. Балтийская 21 , 1895,2,11, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29514,30.282864,59.8983,0,False,False,False,False,False,False,False
 ул. Балтийская 22 , 1898,3,5, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29516,30.28352,59.898733,0,False,False,False,False,False,False,False
 ул. Балтийская 23 , 1948,2,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29517,30.283169,59.898359,0,False,False,False,False,False,False,False
 ул. Балтийская 24 , 1899,3,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29518,30.284014,59.898896,0,False,False,False,False,False,False,False
 ул. Балтийская 25 , 1947,2,12, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29519,30.283708,59.898494,0,False,False,False,False,False,False,False
 ул. Балтийская 27 , 1948,2,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29520,30.284346,59.898661,0,False,False,False,False,False,False,False
 ул. Балтийская 29 , 1974,6,52, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1208079,30.285101,59.898733,0,False,False,False,False,False,False,False
 ул. Балтийская 32 , 1905,4,17, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29522,30.285442,59.89978,0,False,False,False,False,False,False,False
 ул. Балтийская 32 Литер Д, 1905,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29521,30.285442,59.89978,0,False,False,False,False,False,False,False
 ул. Балтийская 34 , 1900,3,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29523,30.286215,59.89964,0,False,False,False,False,False,False,False
 ул. Балтийская 38 , 1890,4,36, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29525,30.287661,59.899852,0,False,False,False,False,False,False,False
